seed,host_k,donor_k,swap_scope,layer_id,validation_loss,baseline_loss,delta_loss
0,4,8,single_layer,4,0.7806434631347656,0.7842632475353423,-0.003619784400576642
0,4,8,single_layer,5,0.7891338893345424,0.7842632475353423,0.004870641799200159
0,4,8,single_layer,6,0.7780658176967076,0.7842632475353423,-0.006197429838634694
0,4,8,single_layer,7,0.7868543352399554,0.7842632475353423,0.0025910877046131375
0,5,1,all_layers,-1,0.8967320578438895,0.7438867659795851,0.1528452918643044
0,5,1,single_layer,0,0.7588922409784227,0.7438867659795851,0.015005474998837531
0,5,1,single_layer,1,0.7372607276553199,0.7438867659795851,-0.0066260383242652265
0,5,1,single_layer,2,0.750787962050665,0.7438867659795851,0.0069011960710798625
0,5,1,single_layer,3,0.7574591409592402,0.7438867659795851,0.013572374979655022
0,5,1,single_layer,4,0.7859790438697452,0.7438867659795851,0.04209227789016001
0,5,1,single_layer,5,0.746467045375279,0.7438867659795851,0.0025802793956938297
0,5,1,single_layer,6,0.7461917059762138,0.7438867659795851,0.002304939996628619
0,5,1,single_layer,7,0.7334566570463634,0.7438867659795851,-0.010430108933221716
0,5,2,all_layers,-1,0.7611246109008789,0.7438867659795851,0.017237844921293766
0,5,2,single_layer,0,0.7717930930001395,0.7438867659795851,0.0279063270205544
0,5,2,single_layer,1,0.7411026727585566,0.7438867659795851,-0.002784093221028572
0,5,2,single_layer,2,0.7448962075369698,0.7438867659795851,0.0010094415573846938
0,5,2,single_layer,3,0.7446605591546922,0.7438867659795851,0.0007737931751070626
0,5,2,single_layer,4,0.7366518747238886,0.7438867659795851,-0.007234891255696541
0,5,2,single_layer,5,0.7414876847040086,0.7438867659795851,-0.002399081275576531
0,5,2,single_layer,6,0.7342319488525391,0.7438867659795851,-0.009654817127046078
0,5,2,single_layer,7,0.7406811032976423,0.7438867659795851,-0.003205662681942889
0,5,3,all_layers,-1,0.7421455383300781,0.7438867659795851,-0.0017412276495070156
0,5,3,single_layer,0,0.752461660475958,0.7438867659795851,0.008574894496372831
0,5,3,single_layer,1,0.7443069276355562,0.7438867659795851,0.0004201616559710297
0,5,3,single_layer,2,0.7404930932181222,0.7438867659795851,-0.0033936727614629625
0,5,3,single_layer,3,0.7424910409109933,0.7438867659795851,-0.0013957250685918687
0,5,3,single_layer,4,0.7411150705246699,0.7438867659795851,-0.0027716954549152906
0,5,3,single_layer,5,0.7415472666422526,0.7438867659795851,-0.0023394993373325734
0,5,3,single_layer,6,0.7369795299711681,0.7438867659795851,-0.006907236008417028
0,5,3,single_layer,7,0.7416459492274693,0.7438867659795851,-0.0022408167521158484
0,5,4,all_layers,-1,0.7229024796258836,0.7438867659795851,-0.02098428635370153
0,5,4,single_layer,0,0.7466377984909784,0.7438867659795851,0.002751032511393303
0,5,4,single_layer,1,0.7348023369198754,0.7438867659795851,-0.009084429059709742
0,5,4,single_layer,2,0.7405506315685454,0.7438867659795851,-0.0033361344110397484
0,5,4,single_layer,3,0.7407226108369374,0.7438867659795851,-0.0031641551426477843
0,5,4,single_layer,4,0.7390952791486468,0.7438867659795851,-0.00479148683093833
0,5,4,single_layer,5,0.7403951372419085,0.7438867659795851,-0.003491628737676611
0,5,4,single_layer,6,0.7358581452142625,0.7438867659795851,-0.008028620765322625
0,5,4,single_layer,7,0.7448864891415551,0.7438867659795851,0.0009997231619699454
0,5,5,all_layers,-1,0.7438867659795851,0.7438867659795851,0.0
0,5,5,single_layer,0,0.7438867659795851,0.7438867659795851,0.0
0,5,5,single_layer,1,0.7438867659795851,0.7438867659795851,0.0
0,5,5,single_layer,2,0.7438867659795851,0.7438867659795851,0.0
0,5,5,single_layer,3,0.7438867659795851,0.7438867659795851,0.0
0,5,5,single_layer,4,0.7438867659795851,0.7438867659795851,0.0
0,5,5,single_layer,5,0.7438867659795851,0.7438867659795851,0.0
0,5,5,single_layer,6,0.7438867659795851,0.7438867659795851,0.0
0,5,5,single_layer,7,0.7438867659795851,0.7438867659795851,0.0
0,5,6,all_layers,-1,0.7221664247058687,0.7438867659795851,-0.02172034127371647
0,5,6,single_layer,0,0.745769046601795,0.7438867659795851,0.0018822806222098531
0,5,6,single_layer,1,0.7298581259591239,0.7438867659795851,-0.014028640020461225
