host_k,donor_k,swap_scope,layer_id,validation_loss,baseline_loss,delta_loss,num_seeds
5,2,single_layer,6,0.8231463659377326,0.8297762189592633,-0.0066298530215308515,3
5,2,single_layer,7,0.819838281661745,0.8297762189592633,-0.009937937297518276,3
5,3,all_layers,-1,0.8165358891562811,0.8297762189592633,-0.013240329802982398,3
5,3,single_layer,0,0.8257119920518662,0.8297762189592633,-0.004064226907397088,3
5,3,single_layer,1,0.8266031779940167,0.8297762189592633,-0.0031730409652467686,3
5,3,single_layer,2,0.8382467390998961,0.8297762189592633,0.008470520140632728,3
5,3,single_layer,3,0.8318534124465216,0.8297762189592633,0.002077193487258174,3
5,3,single_layer,4,0.8298666363670714,0.8297762189592633,9.041740780787084e-05,3
5,3,single_layer,5,0.8247503250364273,0.8297762189592633,-0.005025893922836071,3
5,3,single_layer,6,0.824231223454551,0.8297762189592633,-0.005544995504712287,3
5,3,single_layer,7,0.8241279087369403,0.8297762189592633,-0.005648310222322965,3
5,4,all_layers,-1,0.8079071044921875,0.8297762189592633,-0.021869114467075883,3
5,4,single_layer,0,0.8297778841048954,0.8297762189592633,1.6651456318609685e-06,3
5,4,single_layer,1,0.8222377111041356,0.8297762189592633,-0.0075385078551277,3
5,4,single_layer,2,0.8360134911915612,0.8297762189592633,0.0062372722322978635,3
5,4,single_layer,3,0.825821422395252,0.8297762189592633,-0.00395479656401132,3
5,4,single_layer,4,0.829532365950327,0.8297762189592633,-0.00024385300893629372,3
5,4,single_layer,5,0.8265308803982204,0.8297762189592633,-0.003245338561042884,3
5,4,single_layer,6,0.828041152348594,0.8297762189592633,-0.0017350666106693187,3
5,4,single_layer,7,0.8303481813461061,0.8297762189592633,0.0005719623868427615,3
5,5,all_layers,-1,0.8297762189592633,0.8297762189592633,0.0,3
5,5,single_layer,0,0.8297762189592633,0.8297762189592633,0.0,3
5,5,single_layer,1,0.8297762189592633,0.8297762189592633,0.0,3
5,5,single_layer,2,0.8297762189592633,0.8297762189592633,0.0,3
5,5,single_layer,3,0.8297762189592633,0.8297762189592633,0.0,3
5,5,single_layer,4,0.8297762189592633,0.8297762189592633,0.0,3
5,5,single_layer,5,0.8297762189592633,0.8297762189592633,0.0,3
5,5,single_layer,6,0.8297762189592633,0.8297762189592633,0.0,3
5,5,single_layer,7,0.8297762189592633,0.8297762189592633,0.0,3
5,6,all_layers,-1,0.8124535878499349,0.8297762189592633,-0.017322631109328485,3
5,6,single_layer,0,0.8305181473020523,0.8297762189592633,0.0007419283427889297,3
5,6,single_layer,1,0.8161143045576792,0.8297762189592633,-0.013661914401584188,3
5,6,single_layer,2,0.830097788856143,0.8297762189592633,0.00032156989687966614,3
5,6,single_layer,3,0.8258290366520957,0.8297762189592633,-0.0039471823071676555,3
5,6,single_layer,4,0.8268773820665148,0.8297762189592633,-0.002898836892748613,3
5,6,single_layer,5,0.8213299796694802,0.8297762189592633,-0.008446239289783275,3
5,6,single_layer,6,0.8286997779967292,0.8297762189592633,-0.0010764409625340827,3
5,6,single_layer,7,0.831059319632394,0.8297762189592633,0.0012831006731306067,3
5,7,all_layers,-1,0.8199739002046131,0.8297762189592633,-0.009802318754650319,3
5,7,single_layer,0,0.8325758585854182,0.8297762189592633,0.002799639626154852,3
5,7,single_layer,1,0.8238277738056485,0.8297762189592633,-0.005948445153614812,3
5,7,single_layer,2,0.830000741141183,0.8297762189592633,0.00022452218191963227,3
5,7,single_layer,3,0.8275486325460767,0.8297762189592633,-0.002227586413186655,3
5,7,single_layer,4,0.8311412902105421,0.8297762189592633,0.0013650712512788266,3
5,7,single_layer,5,0.825739996773856,0.8297762189592633,-0.004036222185407334,3
5,7,single_layer,6,0.8295192718505859,0.8297762189592633,-0.0002569471086774448,3
5,7,single_layer,7,0.8352014450799851,0.8297762189592633,0.005425226120721716,3
5,8,all_layers,-1,0.8219707125709169,0.8297762189592633,-0.0078055063883463545,3
5,8,single_layer,0,0.8386363074893044,0.8297762189592633,0.008860088530040944,3
5,8,single_layer,1,0.822556737869505,0.8297762189592633,-0.0072194810897584505,3
5,8,single_layer,2,0.8263155619303385,0.8297762189592633,-0.0034606570289248406,3
5,8,single_layer,3,0.8254743000817678,0.8297762189592633,-0.004301918877495647,3
5,8,single_layer,4,0.8302650451660156,0.8297762189592633,0.0004888262067522428,3
5,8,single_layer,5,0.8273577917189825,0.8297762189592633,-0.0024184272402808884,3
5,8,single_layer,6,0.8348773471892826,0.8297762189592633,0.005101128230019254,3
5,8,single_layer,7,0.8342785305447049,0.8297762189592633,0.0045023115854414915,3
6,1,all_layers,-1,0.9215704600016276,0.8004228198339068,0.12114764016772073,3
6,1,single_layer,0,0.8106107560415117,0.8004228198339068,0.010187936207604794,3
6,1,single_layer,1,0.8085248432462179,0.8004228198339068,0.008102023412310885,3
6,1,single_layer,2,0.8050571926056392,0.8004228198339068,0.004634372771732361,3
6,1,single_layer,3,0.804499005514478,0.8004228198339068,0.004076185680571072,3
6,1,single_layer,4,0.8142118908110119,0.8004228198339068,0.013789070977105022,3
6,1,single_layer,5,0.8148892720540365,0.8004228198339068,0.01446645222012958,3
6,1,single_layer,6,0.7900091807047526,0.8004228198339068,-0.010413639129154273,3
6,1,single_layer,7,0.7806897541833302,0.8004228198339068,-0.019733065650576642,3
6,2,all_layers,-1,0.8064329964773996,0.8004228198339068,0.006010176643492682,3
6,2,single_layer,0,0.8097743382529606,0.8004228198339068,0.009351518419053795,3
6,2,single_layer,1,0.8109815991114057,0.8004228198339068,0.010558779277498783,3
6,2,single_layer,2,0.7961039164709666,0.8004228198339068,-0.004318903362940237,3
6,2,single_layer,3,0.8024133651975601,0.8004228198339068,0.0019905453636532475,3
6,2,single_layer,4,0.8056260063534691,0.8004228198339068,0.005203186519562235,3
6,2,single_layer,5,0.8044301593114459,0.8004228198339068,0.0040073394775390625,3
6,2,single_layer,6,0.7955598982553633,0.8004228198339068,-0.004862921578543511,3
6,2,single_layer,7,0.7862271505688865,0.8004228198339068,-0.014195669265020472,3
6,3,all_layers,-1,0.8049402236938477,0.8004228198339068,0.004517403859940779,3
6,3,single_layer,0,0.8038556840684677,0.8004228198339068,0.003432864234561017,3
6,3,single_layer,1,0.8059509519546751,0.8004228198339068,0.0055281321207682295,3
