seed,pair,layer_id,metric_name,same_compute,fixed_step,fixed_minus_same
0,1-5,4,spearman,0.365998774766922,0.44270750880241394,0.07670873403549194
0,1-5,4,top1_agreement,0.1232638888888889,0.15708705357142858,0.03382316468253968
0,1-5,5,nestedness,0.37193080357142855,0.46986607142857145,0.0979352678571429
0,1-5,5,spearman,0.3281487822532654,0.42331764101982117,0.09516885876655579
0,1-5,5,top1_agreement,0.10943700396825397,0.15398685515873015,0.04454985119047618
0,1-5,6,nestedness,0.37397693452380953,0.46372767857142855,0.08975074404761901
0,1-5,6,spearman,0.3083172142505646,0.41889312863349915,0.11057591438293457
0,1-5,6,top1_agreement,0.0970672123015873,0.1537078373015873,0.056640625
0,1-5,7,nestedness,0.40076264880952384,0.5346602182539683,0.13389756944444442
0,1-5,7,spearman,0.32141244411468506,0.4659039378166199,0.14449149370193481
0,1-5,7,top1_agreement,0.15147569444444445,0.22200520833333334,0.0705295138888889
0,1-6,0,nestedness,0.7792038690476191,0.9011036706349206,0.12189980158730152
0,1-6,0,spearman,0.710882306098938,0.8260486125946045,0.1151663064956665
0,1-6,0,top1_agreement,0.2828931051587302,0.4282924107142857,0.14539930555555552
0,1-6,1,nestedness,0.6889880952380952,0.8013392857142857,0.11235119047619047
0,1-6,1,spearman,0.61640465259552,0.730604887008667,0.11420023441314697
0,1-6,1,top1_agreement,0.23093377976190477,0.30735367063492064,0.07641989087301587
0,1-6,2,nestedness,0.5638330853174603,0.7001488095238095,0.1363157242063492
0,1-6,2,spearman,0.5125536322593689,0.6242668628692627,0.1117132306098938
0,1-6,2,top1_agreement,0.16821676587301587,0.24302455357142858,0.0748077876984127
0,1-6,3,nestedness,0.5343501984126984,0.6094990079365079,0.07514880952380953
0,1-6,3,spearman,0.4341834783554077,0.5168408751487732,0.08265739679336548
0,1-6,3,top1_agreement,0.1695498511904762,0.20343501984126985,0.03388516865079366
0,1-6,4,nestedness,0.4877232142857143,0.5443638392857143,0.056640625
0,1-6,4,spearman,0.3638302981853485,0.45756828784942627,0.09373798966407776
0,1-6,4,top1_agreement,0.13157242063492064,0.16341145833333334,0.0318390376984127
0,1-6,5,nestedness,0.4341517857142857,0.5283978174603174,0.09424603174603174
0,1-6,5,spearman,0.32634323835372925,0.42046058177948,0.09411734342575073
0,1-6,5,top1_agreement,0.1134982638888889,0.1533048115079365,0.039806547619047616
0,1-6,6,nestedness,0.42392113095238093,0.5270647321428571,0.10314360119047616
0,1-6,6,spearman,0.3009168803691864,0.4211590588092804,0.120242178440094
0,1-6,6,top1_agreement,0.1009734623015873,0.14952256944444445,0.04854910714285715
0,1-6,7,nestedness,0.45402405753968256,0.5638020833333334,0.10977802579365081
0,1-6,7,spearman,0.3332344591617584,0.4617271423339844,0.12849268317222595
0,1-6,7,top1_agreement,0.14505828373015872,0.21558779761904762,0.0705295138888889
0,1-7,0,nestedness,0.8290550595238095,0.9233320932539683,0.09427703373015872
0,1-7,0,spearman,0.7141996622085571,0.8282646536827087,0.11406499147415161
0,1-7,0,top1_agreement,0.3004402281746032,0.4302455357142857,0.1298053075396825
0,1-7,1,nestedness,0.7375992063492064,0.8422309027777778,0.1046316964285714
0,1-7,1,spearman,0.6146682500839233,0.7258007526397705,0.11113250255584717
0,1-7,1,top1_agreement,0.22631448412698413,0.30831473214285715,0.08200024801587302
0,1-7,2,nestedness,0.6241319444444444,0.7367001488095238,0.11256820436507942
0,1-7,2,spearman,0.5217669010162354,0.6279824376106262,0.10621553659439087
0,1-7,2,top1_agreement,0.15593998015873015,0.24786086309523808,0.09192088293650794
0,1-7,3,nestedness,0.5868055555555556,0.6644345238095238,0.07762896825396826
0,1-7,3,spearman,0.440265953540802,0.5165959000587463,0.07632994651794434
0,1-7,3,top1_agreement,0.1616753472222222,0.20346602182539683,0.04179067460317462
0,1-7,4,nestedness,0.5328000992063492,0.5887276785714286,0.055927579365079416
0,1-7,4,spearman,0.365710973739624,0.44798049330711365,0.08226951956748962
0,1-7,4,top1_agreement,0.13172743055555555,0.15848214285714285,0.026754712301587297
0,1-7,5,nestedness,0.47767857142857145,0.5678323412698413,0.09015376984126983
0,1-7,5,spearman,0.32342982292175293,0.4207570552825928,0.09732723236083984
0,1-7,5,top1_agreement,0.11250620039682539,0.15817212301587302,0.04566592261904763
0,1-7,6,nestedness,0.472687251984127,0.5727306547619048,0.10004340277777779
0,1-7,6,spearman,0.29942455887794495,0.4287259578704834,0.12930139899253845
0,1-7,6,top1_agreement,0.09799727182539683,0.15094866071428573,0.052951388888888895
0,1-7,7,nestedness,0.5086805555555556,0.6178385416666666,0.10915798611111105
0,1-7,7,spearman,0.335233598947525,0.4644402861595154,0.12920668721199036
0,1-7,7,top1_agreement,0.1501736111111111,0.20907738095238096,0.058903769841269854
0,1-8,0,nestedness,0.8704737103174603,0.9405381944444444,0.07006448412698407
0,1-8,0,spearman,0.7153320908546448,0.8222927451133728,0.10696065425872803
0,1-8,0,top1_agreement,0.291015625,0.43309771825396826,0.14208209325396826
0,1-8,1,nestedness,0.7732824900793651,0.8608940972222222,0.0876116071428571
0,1-8,1,spearman,0.6195244193077087,0.7256444096565247,0.10611999034881592
0,1-8,1,top1_agreement,0.23177083333333334,0.30310639880952384,0.0713355654761905
0,1-8,2,nestedness,0.6728050595238095,0.7882564484126984,0.11545138888888884
0,1-8,2,spearman,0.5294817686080933,0.630412757396698,0.10093098878860474
0,1-8,2,top1_agreement,0.16183035714285715,0.25167410714285715,0.08984375
